model,mode,adapters,metric_type,metric_name,value
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,overall,accuracy,0.7095375722543352
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,overall,n_samples,692.0
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,per_class,C_accuracy,0.7435344827586207
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,per_class,5mC_accuracy,0.6403508771929824
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,site_type,non_cpg_accuracy,0.6184971098265896
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,site_type,cpg_accuracy,0.569364161849711
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,site_type,homopolymer_accuracy,0.5997109826589595
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,confidence,top_25pct_accuracy,0.8497109826589595
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,confidence,top_50pct_accuracy,0.8352601156069365
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,confidence,top_100pct_accuracy,0.7095375722543352
FullSequenceHMM_binary_single,binary,5mers_rand_ref_adapter_01,auc,macro,0.779491833030853
