sample,chrom,position,read_id,mean_current,std_current,dwell_time,n_samples
control,5mers_rand_ref_adapter_01,98,e4f350b2-9e37-491e-b7ca-17896d1e3899,645.0833333333334,4.751461763382811,0.0024,12
control,5mers_rand_ref_adapter_01,38,e4f350b2-9e37-491e-b7ca-17896d1e3899,939.0833333333334,37.57538718659094,0.0024,12
control,5mers_rand_ref_adapter_01,74,e4f350b2-9e37-491e-b7ca-17896d1e3899,889.5833333333334,64.20547527707863,0.012,60
control,5mers_rand_ref_adapter_01,110,e4f350b2-9e37-491e-b7ca-17896d1e3899,705.8333333333334,74.44890119329425,0.0024,12
control,5mers_rand_ref_adapter_01,50,e4f350b2-9e37-491e-b7ca-17896d1e3899,834.5833333333334,22.440507768071758,0.0024,12
control,5mers_rand_ref_adapter_01,86,e4f350b2-9e37-491e-b7ca-17896d1e3899,682.8333333333334,51.72496710701924,0.0024,12
control,5mers_rand_ref_adapter_01,122,e4f350b2-9e37-491e-b7ca-17896d1e3899,707.6282051282051,98.88287671298225,0.0156,78
control,5mers_rand_ref_adapter_01,62,e4f350b2-9e37-491e-b7ca-17896d1e3899,890.0,6.0553007081949835,0.0012,6
control,5mers_rand_ref_adapter_01,98,3de28194-f778-4441-bc65-ffb5d2cabf5e,776.5833333333334,8.731726951500233,0.0024,12
control,5mers_rand_ref_adapter_01,38,3de28194-f778-4441-bc65-ffb5d2cabf5e,796.0,30.405591591021544,0.0024,12
control,5mers_rand_ref_adapter_01,74,3de28194-f778-4441-bc65-ffb5d2cabf5e,908.75,42.15208904800699,0.0072,36
control,5mers_rand_ref_adapter_01,110,3de28194-f778-4441-bc65-ffb5d2cabf5e,637.6666666666666,5.830951894845301,0.0036,18
control,5mers_rand_ref_adapter_01,50,3de28194-f778-4441-bc65-ffb5d2cabf5e,904.0,25.579940057266228,0.0012,6
control,5mers_rand_ref_adapter_01,86,3de28194-f778-4441-bc65-ffb5d2cabf5e,705.0,31.91133549905634,0.0012,6
control,5mers_rand_ref_adapter_01,122,3de28194-f778-4441-bc65-ffb5d2cabf5e,781.375,43.65344504032745,0.0144,72
control,5mers_rand_ref_adapter_01,62,3de28194-f778-4441-bc65-ffb5d2cabf5e,898.6666666666666,5.79271573232759,0.0012,6
control,5mers_rand_ref_adapter_01,98,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,592.0,13.940349110884323,0.0012,6
control,5mers_rand_ref_adapter_01,38,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,679.0,8.962886439832502,0.0012,6
control,5mers_rand_ref_adapter_01,74,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,621.8333333333334,18.00385761132566,0.0048,24
control,5mers_rand_ref_adapter_01,110,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,671.1666666666666,50.70475542019922,0.0024,12
control,5mers_rand_ref_adapter_01,50,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,659.0,14.594519519326424,0.0012,6
control,5mers_rand_ref_adapter_01,86,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,931.3333333333334,9.249624617007738,0.0012,6
control,5mers_rand_ref_adapter_01,122,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,781.25,8.709429755538917,0.0024,12
control,5mers_rand_ref_adapter_01,62,a3e13ae9-ccc0-4cc7-b05c-673f7505fd71,823.1666666666666,22.28165663100978,0.0012,6
control,5mers_rand_ref_adapter_01,98,8fa079f9-db3e-42da-a7d7-284281e8d5f9,784.3333333333334,9.551032521262936,0.0012,6
control,5mers_rand_ref_adapter_01,74,8fa079f9-db3e-42da-a7d7-284281e8d5f9,766.2222222222222,54.72614199159256,0.0036,18
control,5mers_rand_ref_adapter_01,110,8fa079f9-db3e-42da-a7d7-284281e8d5f9,731.5,12.776932339180638,0.0024,12
control,5mers_rand_ref_adapter_01,50,8fa079f9-db3e-42da-a7d7-284281e8d5f9,838.3333333333334,15.595583420386113,0.0012,6
control,5mers_rand_ref_adapter_01,86,8fa079f9-db3e-42da-a7d7-284281e8d5f9,860.8333333333334,24.53512221738914,0.0024,12
control,5mers_rand_ref_adapter_01,122,8fa079f9-db3e-42da-a7d7-284281e8d5f9,875.1666666666666,37.471841279671445,0.0012,6
control,5mers_rand_ref_adapter_01,62,8fa079f9-db3e-42da-a7d7-284281e8d5f9,902.8333333333334,55.28386342826951,0.0024,12
control,5mers_rand_ref_adapter_01,98,769e4a63-8afd-45c1-98a0-55a26044543e,828.8333333333334,8.552127740445,0.0012,6
control,5mers_rand_ref_adapter_01,38,769e4a63-8afd-45c1-98a0-55a26044543e,874.75,29.169404633393988,0.0024,12
control,5mers_rand_ref_adapter_01,74,769e4a63-8afd-45c1-98a0-55a26044543e,915.0,23.607908279501032,0.0024,12
control,5mers_rand_ref_adapter_01,110,769e4a63-8afd-45c1-98a0-55a26044543e,851.0666666666667,54.957518947718974,0.006,30
control,5mers_rand_ref_adapter_01,50,769e4a63-8afd-45c1-98a0-55a26044543e,919.1666666666666,9.788031240017348,0.0012,6
control,5mers_rand_ref_adapter_01,86,769e4a63-8afd-45c1-98a0-55a26044543e,744.6666666666666,13.852396503453432,0.0012,6
control,5mers_rand_ref_adapter_01,122,769e4a63-8afd-45c1-98a0-55a26044543e,778.8333333333334,62.94287533593898,0.0024,12
control,5mers_rand_ref_adapter_01,62,769e4a63-8afd-45c1-98a0-55a26044543e,952.5,55.46094722114532,0.0012,6
control,5mers_rand_ref_adapter_01,98,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,736.1666666666666,68.26643066365456,0.0024,12
control,5mers_rand_ref_adapter_01,38,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,886.0555555555555,32.897943573391096,0.0036,18
control,5mers_rand_ref_adapter_01,74,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,872.5333333333333,9.308538493710433,0.006,30
control,5mers_rand_ref_adapter_01,110,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,718.2222222222222,90.84880941894345,0.0036,18
control,5mers_rand_ref_adapter_01,50,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,713.8333333333334,65.9985269195878,0.0012,6
control,5mers_rand_ref_adapter_01,86,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,772.6666666666666,55.036856337871946,0.0024,12
control,5mers_rand_ref_adapter_01,122,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,814.9166666666666,40.54721185098784,0.0024,12
control,5mers_rand_ref_adapter_01,62,b08d88a9-16ab-4571-85c7-b0c22e8ce6fc,911.3333333333334,43.44217101184311,0.0012,6
control,5mers_rand_ref_adapter_01,98,b1b7b72a-486c-4e74-af99-640c34b708ad,814.0,70.743668739094,0.0012,6
control,5mers_rand_ref_adapter_01,38,b1b7b72a-486c-4e74-af99-640c34b708ad,793.5555555555555,39.32940972269737,0.0036,18
control,5mers_rand_ref_adapter_01,110,b1b7b72a-486c-4e74-af99-640c34b708ad,637.8333333333334,18.23382083443353,0.0024,12
control,5mers_rand_ref_adapter_01,50,b1b7b72a-486c-4e74-af99-640c34b708ad,860.5,159.50208985046768,0.0012,6
control,5mers_rand_ref_adapter_01,86,b1b7b72a-486c-4e74-af99-640c34b708ad,904.9166666666666,13.6409819620469,0.0024,12
control,5mers_rand_ref_adapter_01,122,b1b7b72a-486c-4e74-af99-640c34b708ad,740.8333333333334,76.38371699663628,0.0012,6
control,5mers_rand_ref_adapter_01,62,b1b7b72a-486c-4e74-af99-640c34b708ad,889.0,13.279056191361393,0.0012,6
control,5mers_rand_ref_adapter_01,98,dd978176-ad02-438b-94b2-7f796de847d6,738.9166666666666,78.01651356532724,0.0024,12
control,5mers_rand_ref_adapter_01,38,dd978176-ad02-438b-94b2-7f796de847d6,959.5,13.781025602859414,0.0024,12
control,5mers_rand_ref_adapter_01,74,dd978176-ad02-438b-94b2-7f796de847d6,669.6666666666666,17.339742404853272,0.0036,18
control,5mers_rand_ref_adapter_01,110,dd978176-ad02-438b-94b2-7f796de847d6,766.0666666666667,154.57941504468036,0.006,30
control,5mers_rand_ref_adapter_01,50,dd978176-ad02-438b-94b2-7f796de847d6,875.5,42.342846700082255,0.0012,6
control,5mers_rand_ref_adapter_01,86,dd978176-ad02-438b-94b2-7f796de847d6,1017.5,12.579745625409124,0.0012,6
control,5mers_rand_ref_adapter_01,122,dd978176-ad02-438b-94b2-7f796de847d6,830.75,87.91295410802665,0.0024,12
control,5mers_rand_ref_adapter_01,62,dd978176-ad02-438b-94b2-7f796de847d6,623.3333333333334,5.90668171555645,0.0012,6
control,5mers_rand_ref_adapter_01,98,74d8bf30-5583-4746-b760-cef05707b28f,957.0,22.271057451320086,0.0012,6
control,5mers_rand_ref_adapter_01,38,74d8bf30-5583-4746-b760-cef05707b28f,917.0,6.8068592855540455,0.0024,12
control,5mers_rand_ref_adapter_01,74,74d8bf30-5583-4746-b760-cef05707b28f,852.1666666666666,9.290078339581187,0.0024,12
control,5mers_rand_ref_adapter_01,110,74d8bf30-5583-4746-b760-cef05707b28f,864.2083333333334,83.2160737511423,0.0048,24
control,5mers_rand_ref_adapter_01,50,74d8bf30-5583-4746-b760-cef05707b28f,921.3333333333334,7.586537784494029,0.0012,6
control,5mers_rand_ref_adapter_01,86,74d8bf30-5583-4746-b760-cef05707b28f,805.25,55.003219602734774,0.0024,12
control,5mers_rand_ref_adapter_01,122,74d8bf30-5583-4746-b760-cef05707b28f,762.6111111111111,128.64340847167367,0.0072,36
control,5mers_rand_ref_adapter_01,62,74d8bf30-5583-4746-b760-cef05707b28f,917.1666666666666,15.186799823823613,0.0024,12
control,5mers_rand_ref_adapter_01,98,edc69a67-7b6a-4c7a-9c05-231262b80be3,804.0833333333334,39.504131288877744,0.0024,12
control,5mers_rand_ref_adapter_01,38,edc69a67-7b6a-4c7a-9c05-231262b80be3,707.4166666666666,92.53779257987277,0.0024,12
control,5mers_rand_ref_adapter_01,74,edc69a67-7b6a-4c7a-9c05-231262b80be3,780.1666666666666,134.76162081410436,0.0036,18
control,5mers_rand_ref_adapter_01,110,edc69a67-7b6a-4c7a-9c05-231262b80be3,864.6666666666666,33.5443321922232,0.0012,6
control,5mers_rand_ref_adapter_01,50,edc69a67-7b6a-4c7a-9c05-231262b80be3,855.3333333333334,6.724747000610672,0.0012,6
control,5mers_rand_ref_adapter_01,86,edc69a67-7b6a-4c7a-9c05-231262b80be3,969.5,112.1334770114022,0.0012,6
control,5mers_rand_ref_adapter_01,122,edc69a67-7b6a-4c7a-9c05-231262b80be3,853.75,12.397076268217438,0.0024,12
control,5mers_rand_ref_adapter_01,62,edc69a67-7b6a-4c7a-9c05-231262b80be3,837.1666666666666,7.104380495315706,0.0012,6
control,5mers_rand_ref_adapter_01,98,1d2fb974-5bdd-463c-a152-2abec2e28436,912.0,20.305992547357377,0.0012,6
control,5mers_rand_ref_adapter_01,38,1d2fb974-5bdd-463c-a152-2abec2e28436,895.6666666666666,7.272474743090476,0.0012,6
control,5mers_rand_ref_adapter_01,74,1d2fb974-5bdd-463c-a152-2abec2e28436,866.0833333333334,24.47603703398262,0.0024,12
control,5mers_rand_ref_adapter_01,110,1d2fb974-5bdd-463c-a152-2abec2e28436,722.3333333333334,82.54628331359862,0.0012,6
control,5mers_rand_ref_adapter_01,50,1d2fb974-5bdd-463c-a152-2abec2e28436,811.5,10.012492197250394,0.0012,6
control,5mers_rand_ref_adapter_01,86,1d2fb974-5bdd-463c-a152-2abec2e28436,772.5833333333334,57.865444975582975,0.0024,12
control,5mers_rand_ref_adapter_01,122,1d2fb974-5bdd-463c-a152-2abec2e28436,841.4583333333334,36.92557736703502,0.0048,24
control,5mers_rand_ref_adapter_01,62,1d2fb974-5bdd-463c-a152-2abec2e28436,759.5833333333334,98.64790784513487,0.0024,12
control,5mers_rand_ref_adapter_01,98,11445855-b07d-4287-baae-c54e561c69b3,792.9166666666666,62.48794328152876,0.0024,12
control,5mers_rand_ref_adapter_01,38,11445855-b07d-4287-baae-c54e561c69b3,937.3333333333334,13.167721476735787,0.0024,12
control,5mers_rand_ref_adapter_01,74,11445855-b07d-4287-baae-c54e561c69b3,903.8333333333334,5.335936864527374,0.0012,6
control,5mers_rand_ref_adapter_01,110,11445855-b07d-4287-baae-c54e561c69b3,680.5,10.177589760514683,0.0012,6
control,5mers_rand_ref_adapter_01,50,11445855-b07d-4287-baae-c54e561c69b3,670.6666666666666,11.69995251652283,0.0012,6
control,5mers_rand_ref_adapter_01,86,11445855-b07d-4287-baae-c54e561c69b3,711.3333333333334,7.340905181848414,0.0012,6
control,5mers_rand_ref_adapter_01,122,11445855-b07d-4287-baae-c54e561c69b3,872.5,45.32751188112285,0.0024,12
control,5mers_rand_ref_adapter_01,62,11445855-b07d-4287-baae-c54e561c69b3,789.0833333333334,110.37697399769976,0.0024,12
control,5mers_rand_ref_adapter_01,98,e3f04a35-d48d-4445-8992-23f163f894fc,826.8333333333334,94.21856976673382,0.0024,12
control,5mers_rand_ref_adapter_01,38,e3f04a35-d48d-4445-8992-23f163f894fc,938.2777777777778,42.08563433386683,0.0036,18
control,5mers_rand_ref_adapter_01,74,e3f04a35-d48d-4445-8992-23f163f894fc,910.7777777777778,60.35317864735466,0.0036,18
control,5mers_rand_ref_adapter_01,110,e3f04a35-d48d-4445-8992-23f163f894fc,662.9166666666666,20.942215472315457,0.0024,12
control,5mers_rand_ref_adapter_01,50,e3f04a35-d48d-4445-8992-23f163f894fc,737.1666666666666,118.24327558987116,0.0012,6
control,5mers_rand_ref_adapter_01,86,e3f04a35-d48d-4445-8992-23f163f894fc,827.25,49.3915056799581,0.0024,12
control,5mers_rand_ref_adapter_01,122,e3f04a35-d48d-4445-8992-23f163f894fc,649.0,36.062445840513924,0.0024,12
control,5mers_rand_ref_adapter_01,62,e3f04a35-d48d-4445-8992-23f163f894fc,942.3333333333334,7.2033942616581035,0.0012,6
control,5mers_rand_ref_adapter_01,98,a621b46d-2960-4963-b1a5-3dd86e750819,722.1666666666666,17.553885293258837,0.0012,6
control,5mers_rand_ref_adapter_01,38,a621b46d-2960-4963-b1a5-3dd86e750819,903.0,43.278170016764804,0.0012,6
control,5mers_rand_ref_adapter_01,74,a621b46d-2960-4963-b1a5-3dd86e750819,887.5833333333334,16.10620135917288,0.0024,12
control,5mers_rand_ref_adapter_01,110,a621b46d-2960-4963-b1a5-3dd86e750819,856.0,62.44731112439243,0.0048,24
control,5mers_rand_ref_adapter_01,50,a621b46d-2960-4963-b1a5-3dd86e750819,692.5,57.93027418083455,0.0012,6
control,5mers_rand_ref_adapter_01,86,a621b46d-2960-4963-b1a5-3dd86e750819,808.6666666666666,35.19785346990479,0.0012,6
control,5mers_rand_ref_adapter_01,122,a621b46d-2960-4963-b1a5-3dd86e750819,835.8333333333334,29.893793484415603,0.0024,12
control,5mers_rand_ref_adapter_01,62,a621b46d-2960-4963-b1a5-3dd86e750819,928.8333333333334,13.030946072927918,0.0012,6
control,5mers_rand_ref_adapter_01,98,9b278070-c4d0-4d97-9d9c-a70901fd0678,826.0833333333334,58.11835386137116,0.0024,12
control,5mers_rand_ref_adapter_01,38,9b278070-c4d0-4d97-9d9c-a70901fd0678,965.3333333333334,68.87468491559305,0.0024,12
control,5mers_rand_ref_adapter_01,74,9b278070-c4d0-4d97-9d9c-a70901fd0678,916.1666666666666,6.202598021976132,0.0012,6
control,5mers_rand_ref_adapter_01,110,9b278070-c4d0-4d97-9d9c-a70901fd0678,660.8333333333334,9.998611014647096,0.0024,12
control,5mers_rand_ref_adapter_01,50,9b278070-c4d0-4d97-9d9c-a70901fd0678,756.0,35.5715241918776,0.0012,6
control,5mers_rand_ref_adapter_01,86,9b278070-c4d0-4d97-9d9c-a70901fd0678,1004.5,10.323920443965719,0.0012,6
control,5mers_rand_ref_adapter_01,122,9b278070-c4d0-4d97-9d9c-a70901fd0678,643.8333333333334,31.37630032719317,0.0024,12
control,5mers_rand_ref_adapter_01,62,9b278070-c4d0-4d97-9d9c-a70901fd0678,872.6666666666666,28.388182204728942,0.0012,6
control,5mers_rand_ref_adapter_01,98,6f535c17-1cdf-4a5f-9f84-7d3a91bc12e0,831.5,6.2915286960589585,0.0012,6
